,Open,High,Low,Close,Volume,Log return %
2021-03-10,95.97,97.88,95.31,96.55,3391300.0,0.6025366244987135
2021-03-09,97.6,97.6,95.69,95.97,4141900.0,-1.684185078951043
2021-03-08,98.36,98.94,97.12,97.6,3208200.0,-0.7756723928945032
2021-03-05,98.74,98.74,97.12,98.36,4187600.0,-0.38559154827249276
2021-03-04,99.79,100.75,98.36,98.74,2755100.0,-1.0577845065504479
2021-03-03,100.18,100.18,99.32,99.79,2551300.0,-0.3900590033249634
2021-03-02,100.85,101.7,99.32,100.18,3050100.0,-0.6665696470749924
2021-03-01,100.08,101.13,100.27,100.85,2179000.0,0.7664398241564995
2021-02-26,99.89,100.18,98.74,100.08,3357800.0,0.1900285614597261
2021-02-25,101.04,101.51,99.51,99.89,4282900.0,-1.1446897498177344
2021-02-24,102.18,103.04,100.75,101.04,2801000.0,-1.1219485860416296
2021-02-23,102.66,103.14,101.42,102.18,3048400.0,-0.4686593229505139
2021-02-22,103.14,103.14,102.47,102.66,3006200.0,-0.4664731490655845
2021-02-19,104.09,104.09,102.28,103.14,2696500.0,-0.9168620904564124
2021-02-18,103.81,104.09,102.66,104.09,2847400.0,0.269360432222296
2021-02-17,103.14,104.0,102.47,103.81,2872300.0,0.6475016582341266
2021-02-09,100.56,104.0,100.18,103.14,1931700.0,2.533272434082091
2021-02-08,104.67,104.67,99.13,100.56,4331600.0,-4.005797958480045
2021-02-05,103.9,105.05,103.71,104.67,2231200.0,0.7383645761610736
2021-02-04,104.76,104.76,102.18,103.9,1896800.0,-0.8243121534329446
2021-02-03,101.61,104.76,101.61,104.76,3056500.0,3.053006414172125
2021-02-02,98.08,102.18,97.69,101.61,3350900.0,3.5358483309888786
2021-02-01,98.17,100.46,97.41,98.08,2934800.0,-0.09171975165287417
2021-01-29,91.77,98.17,91.68,98.17,4140500.0,6.741522287350834
2021-01-28,98.65,98.65,91.77,91.77,4565600.0,-7.229278563770272
2021-01-27,101.9,101.99,97.88,98.65,3153800.0,-3.2413707760054735
2021-01-26,103.33,103.61,100.27,101.9,2596900.0,-1.3935809997584325
2021-01-25,103.81,104.76,103.14,103.33,2554800.0,-0.4634554978890492
2021-01-22,105.33,105.81,103.81,103.81,2429000.0,-1.4535973643296511
2021-01-21,104.09,105.72,103.9,105.33,2531200.0,1.1842369321073603
2021-01-20,102.85,104.57,101.23,104.09,3363700.0,1.198429342841103
2021-01-19,108.2,108.2,102.18,102.85,3668300.0,-5.0709750313415105
2021-01-18,108.77,109.92,108.2,108.2,2624000.0,-0.5254194693377721
2021-01-15,108.01,110.11,108.01,108.77,2125700.0,0.7011745675376043
2021-01-14,109.34,109.34,107.53,108.01,3680400.0,-1.223847803647043
2021-01-13,111.06,111.92,109.06,109.34,2521600.0,-1.5608302346607892
2021-01-12,110.68,111.45,110.2,111.06,2344900.0,0.34274408947360213
2021-01-11,106.96,110.78,107.43,110.68,4603900.0,3.418822212503751
2021-01-08,105.43,107.82,105.91,106.96,3323000.0,1.4407707204829427
2021-01-07,104.86,105.81,104.86,105.43,2453000.0,0.5421098444471629
2021-01-06,105.81,106.29,104.86,104.86,2823100.0,-0.9018905771683637
2021-01-05,103.42,106.96,103.52,105.81,4013900.0,2.2846665947995013
2021-01-04,102.95,103.9,103.14,103.42,2299600.0,0.4554933494276905
2020-12-31,102.95,103.99,102.95,102.95,993810.0,0.0
2020-12-30,103.33,104.28,102.76,102.95,1856600.0,-0.36843167524650994
2020-12-29,102.86,103.52,102.76,103.33,1299700.0,0.4558909879493446
2020-12-28,103.14,103.8,102.48,102.86,2305300.0,-0.27184482760427936
2020-12-25,102.86,103.23,102.29,103.14,1755510.0,0.2718448276042675
2020-12-24,104.28,104.56,102.19,102.86,2511360.0,-1.371074871853082
2020-12-23,103.99,105.41,103.99,104.28,2432590.0,0.27848483931595586
2020-12-22,105.03,105.03,103.9,103.99,2266760.0,-0.9951282962542619
2020-12-21,104.46,105.41,104.28,105.03,2341080.0,0.5441800626531389
2020-12-18,104.46,105.03,104.09,104.46,3342900.0,0.0
2020-12-17,105.6,105.6,104.37,104.46,2951870.0,-1.0854148264008374
2020-12-16,105.22,106.26,104.75,105.6,2106480.0,0.3604974969499966
2020-12-15,107.3,107.3,104.84,105.22,4572910.0,-1.9575253333991627
2020-12-14,106.55,107.3,106.36,107.3,2535300.0,0.7014291092026714
2020-12-11,105.98,106.74,105.79,106.55,2297940.0,0.5363961480010002
2020-12-10,103.8,107.78,104.37,105.98,6077770.0,2.0784426332827795
2020-12-09,103.33,104.18,103.42,103.8,1701940.0,0.45382205055246827
2020-12-08,104.09,104.37,103.14,103.33,1468350.0,-0.7328159301113522
2020-12-07,103.14,104.94,102.95,104.09,1970400.0,0.9168620904564072
2020-12-04,103.61,103.8,102.95,103.14,1571130.0,-0.4546561640847492
2020-12-03,103.14,103.99,102.95,103.61,1108730.0,0.45465616408475124
2020-12-02,103.8,103.9,102.86,103.14,1332460.0,-0.6378682108975344
2020-12-01,102.38,103.9,101.44,103.8,2493230.0,1.3774589702351179
2020-11-30,103.9,104.09,102.19,102.38,2687040.0,-1.4737517075744666
2020-11-27,103.99,103.99,102.86,103.9,2823860.0,-0.08658425669595995
2020-11-26,104.56,104.94,103.42,103.99,1490270.0,-0.5466328643825181
2020-11-25,103.71,105.03,103.23,104.56,2190900.0,0.81625267143238
2020-11-24,104.65,104.94,103.14,103.71,1937130.0,-0.9022906290366
2020-11-23,104.94,105.32,103.9,104.65,2104330.0,-0.2767309366556845
2020-11-20,103.8,105.51,103.23,104.94,2801420.0,1.0922787526777515
2020-11-19,103.52,103.8,103.14,103.8,3140680.0,0.2701139979197745
2020-11-18,101.81,103.61,102.0,103.52,3396750.0,1.6656499633486077
2020-11-17,101.34,101.91,101.25,101.81,1648330.0,0.4627131071340662
2020-11-16,101.63,102.86,101.25,101.34,2571160.0,-0.28575671019112775
2020-11-13,101.25,101.63,101.25,101.63,1089500.0,0.3746061163026494
2020-11-12,101.72,101.72,100.96,101.25,1074590.0,-0.46312345672703215
2020-11-11,101.72,102.1,100.3,101.72,2429710.0,0.0
2020-11-10,102.95,103.33,101.72,101.72,2297200.0,-1.2019492919879555
2020-11-09,102.95,103.52,102.67,102.95,1066640.0,0.0
2020-11-06,102.95,103.52,102.19,102.95,1011020.0,0.0
2020-11-05,102.19,103.52,102.19,102.95,1891270.0,0.7409607849680743
2020-11-04,101.91,103.52,101.63,102.19,1342780.0,0.2743754783515429
2020-11-03,101.81,102.19,101.25,101.91,870230.0,0.09817397214978654
2020-11-02,102.19,102.19,101.25,101.81,867340.0,-0.3725494505013321
2020-10-30,101.15,102.19,99.64,102.19,2683620.0,1.0229262010363096
2020-10-29,101.63,101.63,99.92,101.15,1723240.0,-0.4734203535920482
2020-10-28,103.71,103.71,100.77,101.63,2609180.0,-2.025977545196776
2020-10-27,104.56,105.03,103.23,103.71,1721090.0,-0.8162526714323789
2020-10-26,104.09,106.45,104.09,104.56,2313520.0,0.45051597885894096
2020-10-23,100.96,104.09,101.34,104.09,2946790.0,3.053151073447399
2020-10-22,100.68,101.06,99.45,100.96,2422540.0,0.27772285257877205
2020-10-21,100.49,101.15,100.3,100.68,805550.0,0.18889502062478492
2020-10-20,101.91,101.91,100.3,100.49,2150990.0,-1.4031850779734985
2020-10-19,101.63,102.48,101.63,101.91,1617740.0,0.27513036909271704
2020-10-16,101.72,102.19,101.15,101.63,1637740.0,-0.08851734042438653
2020-10-15,101.63,102.1,101.25,101.72,1854560.0,0.0885173404243845
2020-10-14,101.34,101.91,101.06,101.63,1299160.0,0.2857567101911188
2020-10-13,101.25,102.19,101.15,101.34,858550.0,0.08884940611152349
2020-10-12,100.96,102.0,100.87,101.25,1209250.0,0.28683071937456345
2020-10-09,101.15,101.34,100.87,100.96,980970.0,-0.18801648208515695
2020-10-08,102.19,102.19,101.06,101.15,1325810.0,-1.0229262010363136
2020-10-07,101.25,102.19,100.77,102.19,2153700.0,0.9241119637469153
2020-10-06,101.53,102.19,100.77,101.25,2044710.0,-0.2761615326482779
2020-10-05,102.19,103.14,101.25,101.53,1427600.0,-0.6479504310986284
2020-10-02,103.42,104.18,100.96,102.19,2864220.0,-1.1964541343957822
2020-10-01,103.05,103.52,102.1,103.42,1702500.0,0.35840596316073187
2020-09-30,103.33,105.41,102.67,103.05,1432380.0,-0.2713442889795552
